"TableID","TableName","PrimaryKey","ShowTable","DescriptionE","DescriptionF","LastUpdate"
1,Acronyms,AcronymID,"1",Acronyms,Acronymes,"2004-11-26 08:43:23"
2,AcronymTypes,AcronymTypeID,"0",Acronym Types,Types d'acronymes,"2004-11-26 08:43:38"
3,Categories,CategoryID,"1",Product Categories,Catégories de Produits,"2004-11-26 08:43:45"
4,Cities,CityID,"1",Cities,Villes,"2004-11-26 08:43:56"
5,Columns,,"0",Columns,Colonnes,"2004-11-26 08:44:02"
6,Companies,CompanyID,"1",Companies,Entreprises,"2004-11-26 08:44:08"
7,Countries,CountryID,"1",Countries,Pays,"2004-11-26 08:44:19"
8,Languages,LanguageID,"0",Languages,Langues,"2004-11-26 08:44:24"
9,Products,ProductID,"1",Products,Produits,"2004-11-26 08:44:29"
10,ProvinceStates,ProvinceStateID,"1",Provinces or States,Provinces ou États,"2004-11-26 08:44:35"
11,SubCategories,SubCategoryID,"1",Product Sub-Categories,Sous-Catégories de Produits,"2004-11-26 08:44:41"
12,Tables,,"0",Tables,Tables,"2004-11-26 08:44:47"
13,XRefCompanyAcronyms,CompanyID,"1",Acronyms (in a Company Name),Acronymes (dans le nom d'une Compagnie),"2004-11-26 08:45:06"
